訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
"社團法人高雄市資訊培育協會","高雄市","156865","資訊安全實務班","30","16","6150","20250309","20250413"
"國立高雄科技大學","高雄市","156917","建築資訊建模（BIM）與三維地理資訊系統（3D GIS）整合應用學士學分班","36","30","8800","20250316","20250427"
"國立高雄科技大學","高雄市","156920","BIM 視覺化程式語言實務進階學士學分班","36","30","8800","20250216","20250316"
"國立高雄科技大學","高雄市","156923","Civil 3D及Infraworks實務應用班","36","30","8800","20250308","20250419"
"國立高雄科技大學","高雄市","156924","建築環境規劃BIM技術應用進階學士學分班","36","30","8800","20250315","20250426"
"社團法人中華成人教育認證協會","高雄市","156974","物聯網整合開發與影像辨識實務班","42","20","8880","20250309","20250427"
"社團法人台灣多元訓練推廣協會","嘉義市","156994","綠能科技太陽能光電技能B班","49","20","9920","20250215","20250412"
"崑山科技大學","臺南市","157008","三菱Q系列可程式基礎B班","49","25","9560","20250308","20250426"
"國立雲林科技大學","雲林縣","157034","西門子S7-1200可程式控制器PLC應用技術培訓班","40","16","16200","20250308","20250412"
"訊亞企業股份有限公司附設職業訓練中心","臺南市","157036","AI智能技術與媒體影音設計班","54","22","8910","20250214","20250417"
"財團法人中國生產力中心附設台南服務處","臺南市","157037","大數據Power BI Desktop基礎雙語班A班","36","15","7000","20250215","20250329"
"嘉義市電腦商業同業公會","嘉義市","157041","應用Open source與公差分析設計智慧製造3d列印設備應用班","42","22","9160","20250215","20250322"
"社團法人中華民國南部科學園區產學協會","臺南市","157050","智慧穿戴式物聯網之無線生醫晶片系統班","18","25","3400","20250412","20250419"
"伽碩企業有限公司附設職業訓練中心","臺南市","157063","工業產品設計與FreeCAD應用班","47","20","8900","20250221","20250331"
"社團法人中華民國珠寶金飾研究會","嘉義市","157071","3D列印珠寶建模設計C班","47","25","11730","20250305","20250423"
"伽碩企業有限公司附設職業訓練中心","臺南市","157088","Python程式與物件辨識應用班","45","20","8530","20250227","20250422"
"北訓資訊有限公司附設職業訓練中心","臺南市","157100","影像辨識系統班","45","15","9090","20250303","20250423"
"北訓資訊有限公司附設職業訓練中心","臺南市","157101","Raspberry pico W微控制板系統設計班","45","15","9090","20250304","20250424"
"中國文化大學","臺北市","157102","Python AI金融數據爬蟲建置金融資料庫與量化分析應用實務班","42","25","7770","20250308","20250426"
"台灣機械業工會聯合會","臺中市","157125","企業如何導入ESG及企業永續發展實務班","42","25","7960","20250215","20250322"
"銘傳大學","臺北市","157136","PHP與資料庫-網站程式基礎班","36","25","6660","20250224","20250402"
"臺北市勞動力服務人員職業工會","臺北市","157197","Excel VBA辦公室自動化整合Chat GPT應用實務班","48","25","6720","20250225","20250422"
"國立臺北商業大學","臺北市","157213","GA4數據分析與網頁SEO設定班","30","30","4950","20250315","20250419"
"中華民國全國商業總會","臺北市","157218","GA4網站大數據暨電子商務經營管理實務班","42","23","7950","20250304","20250422"
